strategy,holding_days,cost_bps,trade_count,average_trade_return,median_trade_return,cumulative_return,cagr_proxy,annualized_volatility,sharpe,sortino,max_drawdown,hit_rate,skew,breakeven_transaction_cost_bps,turnover_trades,top5_event_share,status
creator_adjusted_top_quartile,10,25,0,,,,,,,,,,,,0,,diagnostic_event_trade_sequence
creator_adjusted_top_quartile,10,50,0,,,,,,,,,,,,0,,diagnostic_event_trade_sequence
creator_adjusted_top_quartile,10,100,0,,,,,,,,,,,,0,,diagnostic_event_trade_sequence
momentum_conditioned_top5,10,0,1006,0.020453,0.009079,3474093.680859,0.458298,0.533954,0.965,2.066,-0.992414,0.5477,0.737333,102.27,2012,1.0000,diagnostic_event_trade_sequence
momentum_conditioned_top5,10,5,1006,0.019453,0.008079,1282264.603338,0.422339,0.533954,0.918,1.953,-0.993574,0.5427,0.737333,102.27,2012,1.0000,diagnostic_event_trade_sequence
momentum_conditioned_top5,10,10,1006,0.018453,0.007079,472802.409176,0.387232,0.533954,0.871,1.841,-0.994821,0.5358,0.737333,102.27,2012,1.0000,diagnostic_event_trade_sequence
momentum_conditioned_top5,10,25,1006,0.015453,0.004079,23559.104021,0.286832,0.533954,0.729,1.514,-0.997298,0.5129,0.737333,102.27,2012,1.0000,diagnostic_event_trade_sequence
momentum_conditioned_top5,10,50,1006,0.010453,-0.000921,154.804832,0.134811,0.533954,0.493,0.995,-0.999097,0.4950,0.737333,102.27,2012,1.0000,diagnostic_event_trade_sequence
momentum_conditioned_top5,10,100,1006,0.000453,-0.010921,-0.993688,-0.119166,0.533954,0.021,0.041,-0.999997,0.4374,0.737333,102.27,2012,1.0000,diagnostic_event_trade_sequence
long_all_buys,21,0,1808,0.019761,0.009382,300829289.666796,0.138340,0.459582,0.516,1.083,-1.000000,0.5321,0.911742,98.80,3616,0.5564,diagnostic_event_trade_sequence
long_all_buys,21,5,1808,0.018761,0.008382,49196948.191427,0.124741,0.459582,0.490,1.023,-1.000000,0.5288,0.911742,98.80,3616,0.5564,diagnostic_event_trade_sequence
