event_id,ticker,company_name,event_date,effective_trading_event_date,sec_confounded_flag,gdelt_article_count_pm5,gdelt_major_news_flag_pm5,free_news_confounded_flag,free_news_clean_flag,free_news_unknown_flag,provider_coverage_status,ar_1d,ar_5d,timing_bucket,duplicate_cluster_size,top5_flag
527,TSLA,Tesla,2025-10-22,2025-10-22,True,6,True,True,False,False,gdelt_only,0.071213,0.018459,after_close,8,True
528,TSLA,Tesla,2025-10-22,2025-10-22,True,6,True,True,False,False,gdelt_only,0.002899,0.034947,after_close,8,True
529,TSLA,Tesla,2025-10-22,2025-10-22,True,5,True,True,False,False,gdelt_only,-0.028097,-0.012627,after_close,8,True
530,TSLA,Tesla,2025-10-22,2025-10-22,True,6,True,True,False,False,gdelt_only,0.060468,0.103405,after_close,8,True
531,TSLA,Tesla,2025-10-22,2025-10-22,True,6,True,True,False,False,gdelt_only,-0.026697,-6.5e-05,after_close,8,True
532,NVDA,Nvidia,2025-10-22,2025-10-22,False,6,True,True,False,False,gdelt_only,-0.009884,0.065207,after_close,1,True
533,AMZN,Amazon,2025-10-22,2025-10-22,False,5,True,True,False,False,gdelt_only,0.006788,-0.00174,after_close,1,True
534,NFLX,Netflix,2026-03-29,2026-03-30,False,1,False,False,True,False,gdelt_only,-0.019636,0.018577,weekend_or_holiday,2,False
535,NFLX,Netflix,2026-03-29,2026-03-30,False,0,False,False,True,False,gdelt_only,-0.019636,0.018577,weekend_or_holiday,2,False
536,NVDA,Nvidia,2024-12-14,2024-12-16,False,6,True,True,False,False,gdelt_only,-0.015711,-0.012023,weekend_or_holiday,1,True
537,AMD,AMD,2024-12-14,2024-12-16,False,7,True,True,False,False,gdelt_only,0.003001,0.04516,weekend_or_holiday,2,True
538,AMD,AMD,2024-12-14,2024-12-16,False,5,True,True,False,False,gdelt_only,0.000288,-0.007128,weekend_or_holiday,2,True
539,AMZN,Amazon,2024-12-14,2024-12-16,False,7,True,True,False,False,gdelt_only,0.11004,0.121358,weekend_or_holiday,1,True
540,UBER,Uber,2024-12-14,2024-12-16,False,1,False,False,True,False,gdelt_only,0.11004,0.121358,weekend_or_holiday,1,False
541,GOOGL,Alphabet,2024-12-14,2024-12-16,False,0,False,False,True,False,gdelt_only,0.066599,0.042678,weekend_or_holiday,2,False
542,GOOGL,Alphabet,2024-12-14,2024-12-16,False,1,False,False,True,False,gdelt_only,-0.025566,0.04947,weekend_or_holiday,2,False
543,SQ,SQ,2024-12-14,nan,False,1,False,False,True,False,gdelt_only,0.001231,0.015663,weekend_or_holiday,1,False
544,MSFT,Microsoft,2024-04-13,2024-04-15,False,0,False,False,True,False,gdelt_only,-0.008036,-0.004612,weekend_or_holiday,2,False
545,MSFT,Microsoft,2024-04-13,2024-04-15,False,0,False,False,True,False,gdelt_only,-0.050885,-0.018257,weekend_or_holiday,2,False
546,AMZN,Amazon,2024-04-13,2024-04-15,True,6,True,True,False,False,gdelt_only,0.029099,0.05539,weekend_or_holiday,1,True
547,TSLA,Tesla,2024-04-13,2024-04-15,True,7,True,True,False,False,gdelt_only,0.013534,0.02678,weekend_or_holiday,1,True
