ticker,provider,endpoint,status,error_class_safe,ts_utc
NFLX,yfinance,info,ok,,2026-05-17T03:12:24.570078+00:00
NFLX,yfinance,ticker,ok,,2026-05-17T03:12:24.723777+00:00
NVDA,FMP,ratings-historical,http_429,http_429,2026-05-17T03:12:30.515060+00:00
NVDA,FMP,grades,http_429,http_429,2026-05-17T03:12:36.640013+00:00
NVDA,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:12:42.771366+00:00
NVDA,FMP,price-target-summary,http_429,http_429,2026-05-17T03:12:48.898502+00:00
NVDA,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:12:55.027992+00:00
NVDA,Finnhub,stock/recommendation,ok,,2026-05-17T03:12:55.675621+00:00
NVDA,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:12:56.045469+00:00
NVDA,yfinance,info,ok,,2026-05-17T03:12:56.435712+00:00
NVDA,yfinance,ticker,ok,,2026-05-17T03:12:56.591959+00:00
PLTR,FMP,ratings-historical,http_429,http_429,2026-05-17T03:13:02.376298+00:00
PLTR,FMP,grades,http_429,http_429,2026-05-17T03:13:08.514578+00:00
PLTR,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:13:14.642115+00:00
PLTR,FMP,price-target-summary,http_429,http_429,2026-05-17T03:13:20.775025+00:00
PLTR,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:13:26.964087+00:00
PLTR,Finnhub,stock/recommendation,ok,,2026-05-17T03:13:27.580378+00:00
PLTR,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:13:27.941493+00:00
PLTR,yfinance,info,ok,,2026-05-17T03:13:28.334061+00:00
PLTR,yfinance,ticker,ok,,2026-05-17T03:13:28.434211+00:00
PYPL,FMP,ratings-historical,http_429,http_429,2026-05-17T03:13:34.224702+00:00
PYPL,FMP,grades,http_429,http_429,2026-05-17T03:13:40.357172+00:00
PYPL,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:13:46.488777+00:00
PYPL,FMP,price-target-summary,http_429,http_429,2026-05-17T03:13:52.610053+00:00
PYPL,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:13:58.733393+00:00
PYPL,Finnhub,stock/recommendation,ok,,2026-05-17T03:13:59.348560+00:00
PYPL,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:13:59.726250+00:00
PYPL,yfinance,info,ok,,2026-05-17T03:14:00.117478+00:00
PYPL,yfinance,ticker,ok,,2026-05-17T03:14:00.234544+00:00
ROKU,FMP,ratings-historical,http_429,http_429,2026-05-17T03:14:06.077554+00:00
ROKU,FMP,grades,http_429,http_429,2026-05-17T03:14:12.210933+00:00
ROKU,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:14:18.456563+00:00
ROKU,FMP,price-target-summary,http_429,http_429,2026-05-17T03:14:24.578627+00:00
ROKU,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:14:30.711807+00:00
ROKU,Finnhub,stock/recommendation,ok,,2026-05-17T03:14:31.348199+00:00
ROKU,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:14:31.711987+00:00
ROKU,yfinance,info,ok,,2026-05-17T03:14:32.097528+00:00
ROKU,yfinance,ticker,ok,,2026-05-17T03:14:32.200432+00:00
SOFI,FMP,ratings-historical,http_429,http_429,2026-05-17T03:14:38.027884+00:00
SOFI,FMP,grades,http_429,http_429,2026-05-17T03:14:44.164951+00:00
SOFI,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:14:50.295858+00:00
SOFI,FMP,price-target-summary,http_429,http_429,2026-05-17T03:14:56.415958+00:00
SOFI,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:15:02.664256+00:00
SOFI,Finnhub,stock/recommendation,ok,,2026-05-17T03:15:03.279473+00:00
SOFI,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:15:03.652299+00:00
SOFI,yfinance,info,ok,,2026-05-17T03:15:04.040302+00:00
SOFI,yfinance,ticker,ok,,2026-05-17T03:15:04.136366+00:00
TSLA,FMP,ratings-historical,http_429,http_429,2026-05-17T03:15:09.939035+00:00
TSLA,FMP,grades,http_429,http_429,2026-05-17T03:15:16.069529+00:00
TSLA,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:15:22.209172+00:00
TSLA,FMP,price-target-summary,http_429,http_429,2026-05-17T03:15:28.355146+00:00
TSLA,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:15:34.489445+00:00
TSLA,Finnhub,stock/recommendation,ok,,2026-05-17T03:15:35.111728+00:00
TSLA,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:15:35.474455+00:00
TSLA,yfinance,info,ok,,2026-05-17T03:15:35.859789+00:00
TSLA,yfinance,ticker,ok,,2026-05-17T03:15:36.018422+00:00
UBER,FMP,ratings-historical,http_429,http_429,2026-05-17T03:15:41.806056+00:00
UBER,FMP,grades,http_429,http_429,2026-05-17T03:15:48.284873+00:00
UBER,FMP,upgrades-downgrades,http_429,http_429,2026-05-17T03:15:54.412941+00:00
UBER,FMP,price-target-summary,http_429,http_429,2026-05-17T03:16:00.537860+00:00
UBER,FMP,price-target-consensus,http_429,http_429,2026-05-17T03:16:06.885859+00:00
UBER,Finnhub,stock/recommendation,ok,,2026-05-17T03:16:07.510238+00:00
UBER,Finnhub,stock/price-target,http_403,http_403,2026-05-17T03:16:07.882170+00:00
UBER,yfinance,info,ok,,2026-05-17T03:16:08.267244+00:00
UBER,yfinance,ticker,ok,,2026-05-17T03:16:08.376356+00:00
