event_id,ticker,creator,recommendation_type,top5_flag,low_lookahead_flag,duplicate_collapsed_flag,sec_clean_flag,actionability_score,interval,start_offset,end_offset,spy_interval_ar,spy_interval_car,right_censored,status,missing_price_reason
1839,AMD,Ticker Symbol: YOU,buy,True,False,True,False,3,0_5,0,5,0.134269,0.142039,False,computed,
1839,AMD,Ticker Symbol: YOU,buy,True,False,True,False,3,6_20,5,20,0.076015,0.078591,True,computed,
1839,AMD,Ticker Symbol: YOU,buy,True,False,True,False,3,21_63,20,63,,,True,missing,insufficient_market_window
1839,AMD,Ticker Symbol: YOU,buy,True,False,True,False,3,64_126,63,126,,,True,missing,insufficient_market_window
1839,AMD,Ticker Symbol: YOU,buy,True,False,True,False,3,127_252,126,252,,,True,missing,insufficient_market_window
1839,AMD,Ticker Symbol: YOU,buy,True,False,True,False,3,253_504,252,504,,,True,missing,insufficient_market_window
1839,AMD,Ticker Symbol: YOU,buy,True,False,True,False,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1840,NVDA,Ticker Symbol: YOU,buy,True,False,True,False,3,0_5,0,5,0.041801,0.041920,False,computed,
1840,NVDA,Ticker Symbol: YOU,buy,True,False,True,False,3,6_20,5,20,0.053087,0.051563,True,computed,
1840,NVDA,Ticker Symbol: YOU,buy,True,False,True,False,3,21_63,20,63,,,True,missing,insufficient_market_window
1840,NVDA,Ticker Symbol: YOU,buy,True,False,True,False,3,64_126,63,126,,,True,missing,insufficient_market_window
1840,NVDA,Ticker Symbol: YOU,buy,True,False,True,False,3,127_252,126,252,,,True,missing,insufficient_market_window
1840,NVDA,Ticker Symbol: YOU,buy,True,False,True,False,3,253_504,252,504,,,True,missing,insufficient_market_window
1840,NVDA,Ticker Symbol: YOU,buy,True,False,True,False,3,505_end_of_sample,504,end_of_sample,,,False,missing,insufficient_market_window
1841,TSLA,Chris Sain,buy,True,False,True,False,2,0_5,0,5,-0.029513,-0.029437,False,computed,
1841,TSLA,Chris Sain,buy,True,False,True,False,2,6_20,5,20,-0.082192,-0.064409,False,computed,
1841,TSLA,Chris Sain,buy,True,False,True,False,2,21_63,20,63,-0.019786,0.001014,False,computed,
