window,creator,n,mean_abnormal_spy
PRE_1W,STOCK UP! with LARRY JONES,30,0.0246765
PRE_1W,Sasha Yanshin,140,-0.011784757142857143
PRE_1W,Stock Moe,5,0.0036466000000000007
PRE_1W,The Investor Channel,115,-0.0032632521739130436
PRE_1W,The Plain Bagel,30,-0.011800799999999998
PRE_1W,The Swedish Investor,7,-0.007655285714285714
PRE_1W,Ticker Symbol: YOU,196,0.0007268418367346938
PRE_1W,Tom Nash,51,0.011358529411764707
PRE_1W,"Value Investing with Sven Carlin, Ph.D.",20,0.014238999999999998
PRE_1W,ZipTrader,91,-0.11160371428571428
PRE_3M,Ale's World of Stocks,50,0.06711215999999999
PRE_3M,Best of Us Investors,20,0.00612205
PRE_3M,Bloomberg Television,9,-0.015221000000000004
PRE_3M,CNBC Television,9,0.023073
PRE_3M,Chicken Genius Singapore,63,0.3923832857142857
PRE_3M,Chris Sain,15,0.2502878
PRE_3M,Couch Investor,111,-0.05469608108108109
PRE_3M,Daniel Pronk,62,-0.045520129032258064
PRE_3M,Dividend Bull,1,-0.201856
PRE_3M,Dividendology,7,0.01109871428571429
PRE_3M,Dumb Money Live,18,0.21363916666666666
PRE_3M,Everything Money,86,-0.07179476744186047
PRE_3M,Financial Education,171,0.12457709356725147
PRE_3M,Graham Stephan,18,-0.022993833333333342
PRE_3M,HyperChange,225,-0.15666550666666665
PRE_3M,Investing with Tom,7,-0.07151057142857142
PRE_3M,Jose Najarro Stocks,148,-0.014314918918918916
PRE_3M,Joseph Carlson,132,0.05457713636363637
PRE_3M,Kenan Grace,24,0.05087387499999999
PRE_3M,Learn to Invest - Investors Grow,18,-0.06938888888888889
PRE_3M,"Mark Roussin, CPA",57,-0.015981157894736843
PRE_3M,Meet Kevin,29,-0.03231331034482759
PRE_3M,Minority Mindset,3,0.052903
PRE_3M,New Money,84,0.02088114285714286
PRE_3M,"Parkev Tatevosian, CFA",16,-0.1022713125
PRE_3M,STOCK UP! with LARRY JONES,30,0.0300561
PRE_3M,Sasha Yanshin,140,-0.01963899285714286
PRE_3M,Stock Moe,5,0.2071304
PRE_3M,The Investor Channel,115,0.052664556521739125
PRE_3M,The Plain Bagel,30,0.2813157
PRE_3M,The Swedish Investor,7,-0.11650757142857142
PRE_3M,Ticker Symbol: YOU,196,0.06666787755102041
PRE_3M,Tom Nash,51,0.2366365294117647
PRE_3M,"Value Investing with Sven Carlin, Ph.D.",20,0.026496750000000003
PRE_3M,ZipTrader,91,-0.051673802197802196
