as_of,spy_prior_21d_return,spy_prior_63d_return,spy_drawdown_from_63d_high,vix_level,vix_percentile_1y,vix_change_5d,vix_change_21d,sentiment_regime,event_id,ticker,top5_flag,high_confidence,vix_tercile,spy_trend_regime
2025-11-04,0.005404996345060642,0.07005926304644983,-0.01767559484874448,19.0,0.7103174603174603,2.5799999999999983,2.629999999999999,neutral,559,PLTR,False,True,vix_mid_tercile,spy_flat_21d
2025-11-04,0.005404996345060642,0.07005926304644983,-0.01767559484874448,19.0,0.7103174603174603,2.5799999999999983,2.629999999999999,neutral,560,NVDA,True,True,vix_mid_tercile,spy_flat_21d
2025-11-04,0.005404996345060642,0.07005926304644983,-0.01767559484874448,19.0,0.7103174603174603,2.5799999999999983,2.629999999999999,neutral,561,NVDA,True,False,vix_mid_tercile,spy_flat_21d
2025-11-04,0.005404996345060642,0.07005926304644983,-0.01767559484874448,19.0,0.7103174603174603,2.5799999999999983,2.629999999999999,neutral,562,PLTR,False,True,vix_mid_tercile,spy_flat_21d
2025-11-04,0.005404996345060642,0.07005926304644983,-0.01767559484874448,19.0,0.7103174603174603,2.5799999999999983,2.629999999999999,neutral,563,PLTR,False,True,vix_mid_tercile,spy_flat_21d
2025-11-04,0.005404996345060642,0.07005926304644983,-0.01767559484874448,19.0,0.7103174603174603,2.5799999999999983,2.629999999999999,neutral,564,PLTR,False,True,vix_mid_tercile,spy_flat_21d
2025-11-04,0.005404996345060642,0.07005926304644983,-0.01767559484874448,19.0,0.7103174603174603,2.5799999999999983,2.629999999999999,neutral,565,META,False,False,vix_mid_tercile,spy_flat_21d
2025-11-04,0.005404996345060642,0.07005926304644983,-0.01767559484874448,19.0,0.7103174603174603,2.5799999999999983,2.629999999999999,neutral,566,GOOGL,False,False,vix_mid_tercile,spy_flat_21d
2024-04-19,-0.048647377638757705,0.029576380131191238,-0.05353905276747939,18.71,0.9365079365079365,1.4000000000000021,5.670000000000002,risk_off,567,NVDA,True,True,vix_mid_tercile,spy_downtrend_21d
2024-07-11,0.04221941842306132,0.08588503230002287,-0.008622833550124498,12.92,0.2619047619047619,0.6600000000000001,0.8800000000000008,risk_on,568,AMZN,True,True,vix_low_tercile,spy_uptrend_21d
2025-12-16,0.010328531190269441,0.0327256982055002,-0.014945447899395004,16.48,0.3412698412698413,-0.4499999999999993,-5.899999999999999,neutral,569,SOFI,False,True,vix_mid_tercile,spy_uptrend_21d
2024-06-12,0.0392582410740514,0.05246812965997605,0.0,12.04,0.015873015873015872,-0.5900000000000016,-1.3800000000000008,risk_on,570,NVDA,True,True,vix_low_tercile,spy_uptrend_21d
2025-03-03,-0.03515462893058208,-0.024831823095977645,-0.0475746596607296,22.78,0.9682539682539683,3.8000000000000007,6.350000000000001,risk_off,571,CRM,False,True,vix_high_tercile,spy_downtrend_21d
2025-03-03,-0.03515462893058208,-0.024831823095977645,-0.0475746596607296,22.78,0.9682539682539683,3.8000000000000007,6.350000000000001,risk_off,572,AMZN,True,True,vix_high_tercile,spy_downtrend_21d
2025-03-03,-0.03515462893058208,-0.024831823095977645,-0.0475746596607296,22.78,0.9682539682539683,3.8000000000000007,6.350000000000001,risk_off,573,AMZN,True,True,vix_high_tercile,spy_downtrend_21d
2025-03-03,-0.03515462893058208,-0.024831823095977645,-0.0475746596607296,22.78,0.9682539682539683,3.8000000000000007,6.350000000000001,risk_off,574,AMZN,True,True,vix_high_tercile,spy_downtrend_21d
2025-03-03,-0.03515462893058208,-0.024831823095977645,-0.0475746596607296,22.78,0.9682539682539683,3.8000000000000007,6.350000000000001,risk_off,575,NVDA,True,True,vix_high_tercile,spy_downtrend_21d
2025-03-03,-0.03515462893058208,-0.024831823095977645,-0.0475746596607296,22.78,0.9682539682539683,3.8000000000000007,6.350000000000001,risk_off,576,PYPL,False,True,vix_high_tercile,spy_downtrend_21d
2025-01-30,0.016856778624762647,0.04518759769989278,-0.007724455525659035,15.84,0.5793650793650794,0.8200000000000003,-1.5100000000000016,neutral,577,NVDA,True,True,vix_low_tercile,spy_uptrend_21d
2025-02-04,0.029317365715941568,0.061841155573872264,-0.013070796287630637,17.21,0.7301587301587301,0.8000000000000007,1.1700000000000017,risk_on,578,AMZN,True,True,vix_mid_tercile,spy_uptrend_21d
2025-12-15,0.012930699052388084,0.034268629233380477,-0.012246611691792086,16.5,0.3492063492063492,-0.16000000000000014,-3.3299999999999983,neutral,579,NFLX,False,True,vix_mid_tercile,spy_uptrend_21d
2025-12-15,0.012930699052388084,0.034268629233380477,-0.012246611691792086,16.5,0.3492063492063492,-0.16000000000000014,-3.3299999999999983,neutral,580,TSLA,True,True,vix_mid_tercile,spy_uptrend_21d
2025-11-19,-0.01290052390490437,0.045499342874326665,-0.03602039034918714,23.66,0.8809523809523809,6.149999999999999,5.789999999999999,neutral,581,NVDA,True,True,vix_high_tercile,spy_downtrend_21d
2025-11-19,-0.01290052390490437,0.045499342874326665,-0.03602039034918714,23.66,0.8809523809523809,6.149999999999999,5.789999999999999,neutral,582,NVDA,True,True,vix_high_tercile,spy_downtrend_21d
2025-11-19,-0.01290052390490437,0.045499342874326665,-0.03602039034918714,23.66,0.8809523809523809,6.149999999999999,5.789999999999999,neutral,583,NVDA,True,True,vix_high_tercile,spy_downtrend_21d
2025-09-08,0.026223811795896168,0.08613696676628835,-0.0004467210899576912,15.11,0.16666666666666666,-1.0100000000000016,-0.040000000000000924,risk_on,584,AAPL,True,True,vix_low_tercile,spy_uptrend_21d
2026-04-06,-0.03020719839176167,-0.03284753728800138,-0.04997979122082763,24.17,0.873015873015873,-6.879999999999999,0.4200000000000017,risk_off,585,AMZN,True,True,vix_high_tercile,spy_downtrend_21d
2026-04-06,-0.03020719839176167,-0.03284753728800138,-0.04997979122082763,24.17,0.873015873015873,-6.879999999999999,0.4200000000000017,risk_off,586,UBER,False,True,vix_high_tercile,spy_downtrend_21d
2025-12-11,0.009033680943909328,0.051217223756651276,0.0,14.85,0.05952380952380952,-0.9299999999999997,-2.660000000000002,neutral,587,PYPL,False,True,vix_low_tercile,spy_flat_21d
