event_id,ticker,company_name,event_date,filing_count_pm1,filing_count_pm3,filing_count_pm5,eight_k_pm5_flag,ten_q_or_k_pm5_flag,offering_registration_pm5_flag,ownership_or_insider_pm5_flag,earnings_proxy_flag,sec_material_event_confounded_flag,sec_routine_filing_flag,sec_unknown_flag,sec_clean_expanded_flag,reason_codes
867,PYPL,PayPal,2026-01-05,3,3,3,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
868,NVDA,Nvidia,2025-12-31,0,1,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
869,NVDA,Nvidia,2025-12-31,0,1,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
870,AMD,nan,2025-12-31,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
871,TSLA,Tesla,2025-01-18,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
872,AAPL,Apple,2025-01-18,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
873,MSFT,Microsoft,2025-01-18,0,0,1,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
874,NVDA,Nvidia,2026-01-16,1,1,2,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
875,AMD,nan,2026-01-16,1,1,6,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
876,MSFT,Microsoft,2024-12-27,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
877,MSFT,Microsoft,2024-12-27,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
878,NFLX,Netflix,2024-12-27,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
879,TSLA,Tesla,2025-01-03,1,4,6,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
880,NFLX,Netflix,2025-01-03,11,12,19,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
881,NFLX,Netflix,2026-01-12,0,2,10,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
882,NFLX,Netflix,2026-01-12,0,2,10,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
883,MSFT,Microsoft,2026-01-12,0,1,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
884,AMZN,Amazon,2026-01-12,0,0,0,True,False,False,False,False,True,False,False,False,8k_window
885,AAPL,Apple,2024-12-06,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
886,GOOGL,Alphabet,2024-12-06,0,1,7,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
887,TSLA,Tesla,2024-04-22,3,6,8,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
888,MSFT,Microsoft,2024-04-22,0,2,4,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
889,GOOGL,Alphabet,2024-04-22,0,1,11,True,True,False,True,True,True,False,False,False,8k_window;10q_10k_window;ownership_insider_window;material_filing_flag
890,GOOGL,Alphabet,2024-04-22,0,1,11,True,True,False,True,True,True,False,False,False,8k_window;10q_10k_window;ownership_insider_window;material_filing_flag
891,AMZN,Amazon,2025-05-14,5,6,9,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
892,TSLA,Tesla,2024-11-09,1,3,7,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
893,AMZN,Amazon,2024-11-09,2,8,13,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
894,MSFT,Microsoft,2024-11-09,1,3,5,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
895,NFLX,Netflix,2024-11-09,1,16,33,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
896,UBER,Uber,2025-12-17,6,6,6,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
897,PYPL,PayPal,2025-12-17,2,2,2,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
898,META,Meta,2026-01-25,1,6,12,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
899,AAPL,Apple,2024-05-06,0,2,3,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
