event_id,ticker,creator,recommendation_type,event_date,horizon,model,alpha,top5_flag,low_lookahead_flag,duplicate_cluster_id,status
28,NVDA,The Investor Channel,buy,2023-05-24,1D,FF5,0.184319,True,False,27,computed
28,NVDA,The Investor Channel,buy,2023-05-24,1D,Carhart,0.226494,True,False,27,computed
28,NVDA,The Investor Channel,buy,2023-05-24,5D,SPY_adjusted,0.276211,True,False,27,computed
28,NVDA,The Investor Channel,buy,2023-05-24,5D,FF3,0.201326,True,False,27,computed
28,NVDA,The Investor Channel,buy,2023-05-24,5D,FF5,0.162341,True,False,27,computed
28,NVDA,The Investor Channel,buy,2023-05-24,5D,Carhart,0.217459,True,False,27,computed
29,NFLX,"Mark Roussin, CPA",buy,2023-07-28,1D,SPY_adjusted,0.029074,False,True,28,computed
29,NFLX,"Mark Roussin, CPA",buy,2023-07-28,1D,FF3,0.027663,False,True,28,computed
29,NFLX,"Mark Roussin, CPA",buy,2023-07-28,1D,FF5,0.030377,False,True,28,computed
29,NFLX,"Mark Roussin, CPA",buy,2023-07-28,1D,Carhart,0.028750,False,True,28,computed
29,NFLX,"Mark Roussin, CPA",buy,2023-07-28,5D,SPY_adjusted,0.035796,False,True,28,computed
29,NFLX,"Mark Roussin, CPA",buy,2023-07-28,5D,FF3,0.054687,False,True,28,computed
29,NFLX,"Mark Roussin, CPA",buy,2023-07-28,5D,FF5,0.037468,False,True,28,computed
29,NFLX,"Mark Roussin, CPA",buy,2023-07-28,5D,Carhart,0.053752,False,True,28,computed
30,MSFT,"Mark Roussin, CPA",buy,2023-07-28,1D,SPY_adjusted,-0.009144,False,True,29,computed
30,MSFT,"Mark Roussin, CPA",buy,2023-07-28,1D,FF3,-0.007058,False,True,29,computed
30,MSFT,"Mark Roussin, CPA",buy,2023-07-28,1D,FF5,0.000467,False,True,29,computed
30,MSFT,"Mark Roussin, CPA",buy,2023-07-28,1D,Carhart,-0.005969,False,True,29,computed
30,MSFT,"Mark Roussin, CPA",buy,2023-07-28,5D,SPY_adjusted,-0.009171,False,True,29,computed
30,MSFT,"Mark Roussin, CPA",buy,2023-07-28,5D,FF3,0.010658,False,True,29,computed
30,MSFT,"Mark Roussin, CPA",buy,2023-07-28,5D,FF5,-0.000221,False,True,29,computed
30,MSFT,"Mark Roussin, CPA",buy,2023-07-28,5D,Carhart,0.009721,False,True,29,computed
31,NFLX,The Investor Channel,buy,2023-08-25,1D,SPY_adjusted,-0.001462,False,False,30,computed
31,NFLX,The Investor Channel,buy,2023-08-25,1D,FF3,-0.002144,False,False,30,computed
31,NFLX,The Investor Channel,buy,2023-08-25,1D,FF5,-0.000676,False,False,30,computed
31,NFLX,The Investor Channel,buy,2023-08-25,1D,Carhart,-0.001936,False,False,30,computed
31,NFLX,The Investor Channel,buy,2023-08-25,5D,SPY_adjusted,0.031826,False,False,30,computed
31,NFLX,The Investor Channel,buy,2023-08-25,5D,FF3,0.018817,False,False,30,computed
31,NFLX,The Investor Channel,buy,2023-08-25,5D,FF5,0.017031,False,False,30,computed
31,NFLX,The Investor Channel,buy,2023-08-25,5D,Carhart,0.020559,False,False,30,computed
32,NFLX,The Investor Channel,buy,2023-08-25,1D,SPY_adjusted,-0.001462,False,False,30,computed
32,NFLX,The Investor Channel,buy,2023-08-25,1D,FF3,-0.002144,False,False,30,computed
32,NFLX,The Investor Channel,buy,2023-08-25,1D,FF5,-0.000676,False,False,30,computed
32,NFLX,The Investor Channel,buy,2023-08-25,1D,Carhart,-0.001936,False,False,30,computed
32,NFLX,The Investor Channel,buy,2023-08-25,5D,SPY_adjusted,0.031826,False,False,30,computed
32,NFLX,The Investor Channel,buy,2023-08-25,5D,FF3,0.018817,False,False,30,computed
32,NFLX,The Investor Channel,buy,2023-08-25,5D,FF5,0.017031,False,False,30,computed
32,NFLX,The Investor Channel,buy,2023-08-25,5D,Carhart,0.020559,False,False,30,computed
33,MSFT,The Investor Channel,buy,2023-08-25,1D,SPY_adjusted,-0.004112,False,False,31,computed
33,MSFT,The Investor Channel,buy,2023-08-25,1D,FF3,-0.002096,False,False,31,computed
33,MSFT,The Investor Channel,buy,2023-08-25,1D,FF5,-0.001908,False,False,31,computed
33,MSFT,The Investor Channel,buy,2023-08-25,1D,Carhart,-0.001682,False,False,31,computed
33,MSFT,The Investor Channel,buy,2023-08-25,5D,SPY_adjusted,-0.007916,False,False,31,computed
33,MSFT,The Investor Channel,buy,2023-08-25,5D,FF3,-0.008473,False,False,31,computed
33,MSFT,The Investor Channel,buy,2023-08-25,5D,FF5,-0.008478,False,False,31,computed
33,MSFT,The Investor Channel,buy,2023-08-25,5D,Carhart,-0.005006,False,False,31,computed
34,AAPL,"Mark Roussin, CPA",buy,2023-09-08,1D,SPY_adjusted,0.000046,True,True,32,computed
34,AAPL,"Mark Roussin, CPA",buy,2023-09-08,1D,FF3,-0.004218,True,True,32,computed
34,AAPL,"Mark Roussin, CPA",buy,2023-09-08,1D,FF5,-0.002411,True,True,32,computed
34,AAPL,"Mark Roussin, CPA",buy,2023-09-08,1D,Carhart,-0.004214,True,True,32,computed
34,AAPL,"Mark Roussin, CPA",buy,2023-09-08,5D,SPY_adjusted,-0.016476,True,True,32,computed
