provider,event_id,ticker,query_status,error_class_safe
alpha_vantage_news,304,TSLA,unknown_or_limited,
alpha_vantage_news,305,META,unknown_or_limited,
alpha_vantage_news,306,META,unknown_or_limited,
alpha_vantage_news,308,PYPL,unknown_or_limited,
alpha_vantage_news,309,PYPL,unknown_or_limited,
alpha_vantage_news,310,PYPL,unknown_or_limited,
alpha_vantage_news,311,MSFT,unknown_or_limited,
alpha_vantage_news,313,NVDA,unknown_or_limited,
alpha_vantage_news,316,NVDA,unknown_or_limited,
alpha_vantage_news,317,NVDA,unknown_or_limited,
alpha_vantage_news,318,NVDA,unknown_or_limited,
alpha_vantage_news,319,NVDA,unknown_or_limited,
alpha_vantage_news,320,SOFI,unknown_or_limited,
alpha_vantage_news,321,PYPL,unknown_or_limited,
alpha_vantage_news,323,META,unknown_or_limited,
alpha_vantage_news,324,TSLA,unknown_or_limited,
alpha_vantage_news,325,NVDA,unknown_or_limited,
alpha_vantage_news,326,NVDA,unknown_or_limited,
alpha_vantage_news,327,META,unknown_or_limited,
alpha_vantage_news,328,META,unknown_or_limited,
alpha_vantage_news,329,NVDA,unknown_or_limited,
alpha_vantage_news,331,NVDA,unknown_or_limited,
alpha_vantage_news,332,GOOGL,unknown_or_limited,
alpha_vantage_news,333,NVDA,unknown_or_limited,
alpha_vantage_news,334,NVDA,unknown_or_limited,
alpha_vantage_news,335,GOOGL,unknown_or_limited,
alpha_vantage_news,337,NVDA,unknown_or_limited,
alpha_vantage_news,338,PYPL,unknown_or_limited,
alpha_vantage_news,339,PYPL,unknown_or_limited,
alpha_vantage_news,340,NVDA,unknown_or_limited,
alpha_vantage_news,341,NVDA,unknown_or_limited,
alpha_vantage_news,342,NVDA,unknown_or_limited,
gdelt_news,7,MSFT,http_429,
gdelt_news,9,NVDA,http_429,
gdelt_news,10,NFLX,http_429,
gdelt_news,11,NFLX,http_429,
gdelt_news,12,AMZN,http_429,
gdelt_news,77,MSFT,http_429,
gdelt_news,240,AMC,http_429,
gdelt_news,575,PYPL,http_429,
gdelt_news,592,NVDA,http_429,
gdelt_news,751,AMD,http_429,
gdelt_news,859,META,json_parse_failed,
gdelt_news,887,TSLA,http_429,
gdelt_news,993,TSLA,http_429,
gdelt_news,1121,PYPL,http_429,
gdelt_news,1269,PYPL,http_429,
gdelt_news,1395,GOOGL,http_429,
gdelt_news,1546,AMZN,http_429,
gdelt_news,1584,GOOGL,http_429,
gdelt_news,1605,AMZN,http_429,
gdelt_news,1782,AMD,http_429,
gdelt_news,1968,TSLA,http_429,
gdelt_news,2029,AMC,http_429,
gdelt_news,2030,AMC,http_429,
