sample_mode,horizon,benchmark,N,mean_abnormal_return,median_abnormal_return,standard_deviation,standard_error,t_stat,p_value,win_rate,bootstrap_ci_lower,bootstrap_ci_upper
balanced_creator_year_sample,PRE_1M,SPY,147,-0.002291,0.000265,0.126345,0.010421,-0.2198,0.82631916,0.52381,-0.02216,0.018296
balanced_creator_year_sample,PRE_1M,QQQ,147,-0.001586,-0.002436,0.119967,0.009895,-0.1603,0.87287846,0.47619,-0.0207,0.017134
balanced_creator_year_sample,PRE_1M,IWM,147,-0.002398,0.000948,0.130174,0.010737,-0.2233,0.8235943,0.510204,-0.0235,0.018182
balanced_creator_year_sample,PRE_1M,SECTOR,146,0.004413,-0.002931,0.10334,0.008553,0.516,0.60667516,0.458904,-0.013142,0.019919
balanced_creator_year_sample,PRE_1W,SPY,147,-0.007341,-0.003318,0.066379,0.005475,-1.3408,0.18206651,0.442177,-0.019012,0.002272
balanced_creator_year_sample,PRE_1W,QQQ,147,-0.00804,-0.00416,0.064223,0.005297,-1.5179,0.13121385,0.428571,-0.01936,0.001507
balanced_creator_year_sample,PRE_1W,IWM,147,-0.006806,-0.001939,0.069596,0.00574,-1.1857,0.23767155,0.469388,-0.01945,0.003375
balanced_creator_year_sample,PRE_1W,SECTOR,146,-0.003165,-0.001342,0.046073,0.003813,-0.8301,0.4078279,0.472603,-0.010618,0.004049
balanced_creator_year_sample,PRE_3M,SPY,147,0.015117,-0.012713,0.22606,0.018645,0.8108,0.41882801,0.462585,-0.021436,0.050481
balanced_creator_year_sample,PRE_3M,QQQ,147,0.009737,-0.01641,0.208966,0.017235,0.565,0.57297013,0.435374,-0.024664,0.043886
balanced_creator_year_sample,PRE_3M,IWM,147,0.011051,-0.016427,0.232976,0.019216,0.5751,0.56610597,0.469388,-0.028373,0.047905
balanced_creator_year_sample,PRE_3M,SECTOR,146,0.016711,0.000459,0.188292,0.015583,1.0724,0.28533618,0.5,-0.015009,0.046623
cap_1000_per_creator,1D,SPY,471,0.001332,-0.00078,0.031879,0.001469,0.9068,0.36496355,0.4862,-0.001634,0.004088
cap_1000_per_creator,1D,QQQ,471,0.000868,-7.4e-05,0.03041,0.001401,0.6195,0.53591892,0.498938,-0.002035,0.003437
cap_1000_per_creator,1D,IWM,471,0.001341,0.000114,0.032362,0.001491,0.8991,0.369034,0.505308,-0.001766,0.0041
cap_1000_per_creator,1D,SECTOR,469,0.001942,-0.000358,0.027994,0.001293,1.5026,0.13360914,0.49467,-0.000641,0.004695
cap_1000_per_creator,1M,SPY,430,0.012265,0.000985,0.122064,0.005886,2.0835,0.03779367,0.504651,0.001212,0.024006
cap_1000_per_creator,1M,QQQ,430,0.008749,-0.004447,0.115562,0.005573,1.57,0.11715649,0.469767,-0.001839,0.019391
cap_1000_per_creator,1M,IWM,430,0.013346,0.004126,0.127256,0.006137,2.1747,0.03019822,0.523256,0.001418,0.025842
cap_1000_per_creator,1M,SECTOR,428,0.013542,0.002174,0.109446,0.00529,2.5598,0.01081648,0.507009,0.004478,0.02317
cap_1000_per_creator,1W,SPY,465,0.003043,-0.001341,0.060037,0.002784,1.0928,0.27504782,0.490323,-0.002745,0.008535
cap_1000_per_creator,1W,QQQ,465,0.001108,-0.001699,0.058128,0.002696,0.4109,0.68134539,0.464516,-0.004475,0.006598
cap_1000_per_creator,1W,IWM,465,0.00236,-0.001369,0.062866,0.002915,0.8094,0.41871287,0.488172,-0.003679,0.008119
cap_1000_per_creator,1W,SECTOR,463,0.003903,-0.001539,0.054534,0.002534,1.5399,0.12426878,0.477322,-0.000724,0.008821
cap_1000_per_creator,1Y,SPY,196,0.193659,0.063101,0.507182,0.036227,5.3457,2.5e-07,0.596939,0.125678,0.262585
cap_1000_per_creator,1Y,QQQ,196,0.147972,0.014056,0.502116,0.035865,4.1258,5.469e-05,0.52551,0.081323,0.216344
cap_1000_per_creator,1Y,IWM,196,0.260118,0.144853,0.511908,0.036565,7.1139,0.0,0.683673,0.19177,0.33199
cap_1000_per_creator,1Y,SECTOR,195,0.184912,0.021428,0.48575,0.034785,5.3158,2.9e-07,0.553846,0.120704,0.254734
cap_1000_per_creator,2M,SPY,409,0.024818,-0.008128,0.183801,0.009088,2.7307,0.00659371,0.481663,0.007727,0.044669
