strategy,sequence,event_date,equity,drawdown
long_top5_buys,365,2024-05-22,3582.223008,0.000000
long_top5_buys,366,2024-05-22,4447.401246,0.000000
long_top5_buys,367,2024-05-22,5521.537268,0.000000
long_top5_buys,368,2024-05-22,6855.098544,0.000000
long_top5_buys,369,2024-05-24,8121.904079,0.000000
long_top5_buys,370,2024-05-27,9132.278842,0.000000
long_top5_buys,371,2024-05-31,10328.879477,0.000000
long_top5_buys,372,2024-05-31,13387.568337,0.000000
long_top5_buys,373,2024-05-31,14947.310722,0.000000
long_top5_buys,374,2024-06-04,16631.875648,0.000000
long_top5_buys,375,2024-06-04,18506.291380,0.000000
long_top5_buys,376,2024-06-04,20591.954142,0.000000
long_top5_buys,377,2024-06-06,24161.643648,0.000000
long_top5_buys,378,2024-06-06,26176.539703,0.000000
long_top5_buys,379,2024-06-07,30909.268897,0.000000
long_top5_buys,380,2024-06-07,34420.049011,0.000000
long_top5_buys,381,2024-06-07,37226.924630,0.000000
long_top5_buys,382,2024-06-07,41455.285615,0.000000
long_top5_buys,383,2024-06-13,58184.123638,0.000000
long_top5_buys,384,2024-06-14,59391.410600,0.000000
long_top5_buys,385,2024-06-21,64257.803107,0.000000
long_top5_buys,386,2024-06-27,57670.865612,-0.102508
long_top5_buys,387,2024-06-28,64737.000843,0.000000
long_top5_buys,388,2024-06-28,54194.387508,-0.162853
long_top5_buys,389,2024-06-28,45368.670143,-0.299185
long_top5_buys,390,2024-07-01,42598.084324,-0.341982
long_top5_buys,391,2024-07-04,33899.523544,-0.476350
long_top5_buys,392,2024-07-04,27207.758321,-0.579719
long_top5_buys,393,2024-07-04,25087.799415,-0.612466
long_top5_buys,394,2024-07-06,19837.715430,-0.693564
long_top5_buys,395,2024-07-06,15686.308191,-0.757692
long_top5_buys,396,2024-07-10,12978.402896,-0.799521
long_top5_buys,397,2024-07-11,11075.549775,-0.828915
long_top5_buys,398,2024-07-12,9315.054918,-0.856109
long_top5_buys,399,2024-07-12,7387.703293,-0.885881
long_top5_buys,400,2024-07-12,6213.403695,-0.904021
long_top5_buys,401,2024-07-12,4663.764145,-0.927958
long_top5_buys,402,2024-07-12,3922.443583,-0.939410
long_top5_buys,403,2024-07-18,4025.688871,-0.937815
long_top5_buys,404,2024-07-20,4136.519194,-0.936103
long_top5_buys,405,2024-07-20,3626.032758,-0.943988
long_top5_buys,406,2024-07-20,3178.545282,-0.950901
long_top5_buys,407,2024-07-22,3106.697219,-0.952010
long_top5_buys,408,2024-07-22,3036.473216,-0.953095
long_top5_buys,409,2024-07-23,2926.259909,-0.954798
long_top5_buys,410,2024-07-23,2644.466351,-0.959151
long_top5_buys,411,2024-07-25,2638.695739,-0.959240
long_top5_buys,412,2024-07-26,2944.840174,-0.954511
long_top5_buys,413,2024-07-27,2647.054170,-0.959111
long_top5_buys,414,2024-07-27,2379.380668,-0.963245
long_top5_buys,415,2024-07-30,2509.553931,-0.961235
long_top5_buys,416,2024-07-30,2313.107719,-0.964269
long_top5_buys,417,2024-08-01,2522.517499,-0.961034
long_top5_buys,418,2024-08-01,2821.105903,-0.956422
long_top5_buys,419,2024-08-01,2954.941385,-0.954355
