event_id,ticker,creator,recommendation_type,horizon,model,alpha,top5_flag,low_lookahead_flag,duplicate_collapsed_flag,sec_clean_flag,right_censored,available_trading_days,status,estimation_model
4,NVDA,The Investor Channel,buy,504D,CAPM,2.332555,True,False,True,False,False,504.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,504D,FF3,2.459955,True,False,True,False,False,504.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,504D,FF5,2.552855,True,False,True,False,False,504.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,504D,Carhart,2.217255,True,False,True,False,False,504.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,end_of_sample,CAPM,3.871363,True,False,True,False,False,724.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,end_of_sample,FF3,3.812163,True,False,True,False,False,724.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,end_of_sample,FF5,3.955363,True,False,True,False,False,724.0,computed,factor_basket_stress_test_not_beta_estimated
4,NVDA,The Investor Channel,buy,end_of_sample,Carhart,3.476863,True,False,True,False,False,724.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,5D,CAPM,-0.004252,True,False,True,True,False,5.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,5D,FF3,-0.013552,True,False,True,True,False,5.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,5D,FF5,-0.019152,True,False,True,True,False,5.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,5D,Carhart,-0.011152,True,False,True,True,False,5.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,10D,CAPM,0.033801,True,False,True,True,False,10.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,10D,FF3,0.002301,True,False,True,True,False,10.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,10D,FF5,-0.003899,True,False,True,True,False,10.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,10D,Carhart,0.014501,True,False,True,True,False,10.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,21D,CAPM,-0.018873,True,False,True,True,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,21D,FF3,-0.064973,True,False,True,True,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,21D,FF5,-0.082673,True,False,True,True,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,21D,Carhart,-0.036973,True,False,True,True,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,42D,CAPM,-0.100429,True,False,True,True,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,42D,FF3,-0.126029,True,False,True,True,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,42D,FF5,-0.145429,True,False,True,True,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,42D,Carhart,-0.126529,True,False,True,True,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,63D,CAPM,-0.042974,True,False,True,True,False,63.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,63D,FF3,-0.043074,True,False,True,True,False,63.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,63D,FF5,-0.072874,True,False,True,True,False,63.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,63D,Carhart,-0.046474,True,False,True,True,False,63.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,126D,CAPM,-0.110384,True,False,True,True,False,126.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,126D,FF3,-0.208084,True,False,True,True,False,126.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,126D,FF5,-0.200684,True,False,True,True,False,126.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,126D,Carhart,-0.222884,True,False,True,True,False,126.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,252D,CAPM,-0.511375,True,False,True,True,False,252.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,252D,FF3,-0.400975,True,False,True,True,False,252.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,252D,FF5,-0.362775,True,False,True,True,False,252.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,252D,Carhart,-0.533375,True,False,True,True,False,252.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,504D,CAPM,-0.145876,True,False,True,True,False,504.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,504D,FF3,-0.018476,True,False,True,True,False,504.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,504D,FF5,0.074424,True,False,True,True,False,504.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,504D,Carhart,-0.261176,True,False,True,True,False,504.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,end_of_sample,CAPM,0.252169,True,False,True,True,False,724.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,end_of_sample,FF3,0.192969,True,False,True,True,False,724.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,end_of_sample,FF5,0.336169,True,False,True,True,False,724.0,computed,factor_basket_stress_test_not_beta_estimated
5,TSLA,The Investor Channel,buy,end_of_sample,Carhart,-0.142331,True,False,True,True,False,724.0,computed,factor_basket_stress_test_not_beta_estimated
6,PYPL,"Parkev Tatevosian, CFA",buy,5D,CAPM,-0.001031,False,True,True,True,False,5.0,computed,factor_basket_stress_test_not_beta_estimated
6,PYPL,"Parkev Tatevosian, CFA",buy,5D,FF3,-0.004531,False,True,True,True,False,5.0,computed,factor_basket_stress_test_not_beta_estimated
6,PYPL,"Parkev Tatevosian, CFA",buy,5D,FF5,-0.000531,False,True,True,True,False,5.0,computed,factor_basket_stress_test_not_beta_estimated
6,PYPL,"Parkev Tatevosian, CFA",buy,5D,Carhart,-0.026631,False,True,True,True,False,5.0,computed,factor_basket_stress_test_not_beta_estimated
6,PYPL,"Parkev Tatevosian, CFA",buy,10D,CAPM,0.016985,False,True,True,True,False,10.0,computed,factor_basket_stress_test_not_beta_estimated
6,PYPL,"Parkev Tatevosian, CFA",buy,10D,FF3,-0.011615,False,True,True,True,False,10.0,computed,factor_basket_stress_test_not_beta_estimated
6,PYPL,"Parkev Tatevosian, CFA",buy,10D,FF5,-0.012415,False,True,True,True,False,10.0,computed,factor_basket_stress_test_not_beta_estimated
6,PYPL,"Parkev Tatevosian, CFA",buy,10D,Carhart,-0.035415,False,True,True,True,False,10.0,computed,factor_basket_stress_test_not_beta_estimated
6,PYPL,"Parkev Tatevosian, CFA",buy,21D,CAPM,0.031084,False,True,True,True,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
6,PYPL,"Parkev Tatevosian, CFA",buy,21D,FF3,-0.028416,False,True,True,True,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
6,PYPL,"Parkev Tatevosian, CFA",buy,21D,FF5,-0.040116,False,True,True,True,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
6,PYPL,"Parkev Tatevosian, CFA",buy,21D,Carhart,-0.059116,False,True,True,True,False,21.0,computed,factor_basket_stress_test_not_beta_estimated
6,PYPL,"Parkev Tatevosian, CFA",buy,42D,CAPM,0.039100,False,True,True,True,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
6,PYPL,"Parkev Tatevosian, CFA",buy,42D,FF3,-0.020400,False,True,True,True,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
6,PYPL,"Parkev Tatevosian, CFA",buy,42D,FF5,-0.032100,False,True,True,True,False,42.0,computed,factor_basket_stress_test_not_beta_estimated
