strategy,holding_days,cost_bps,signal_timing,trade_count,average_trade_return,median_trade_return,annualized_return_proxy,annualized_volatility_proxy,sharpe_proxy,max_drawdown_sequence,hit_rate,top5_event_share,ticker_concentration_top_share,years_spanned,status
long_all_buys,63,10,next_close,1808,0.090438,0.048611,0.413852,0.489348,0.846,-0.976165,0.629425,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,63,10,one_day_delay,1808,0.089938,0.048111,0.411260,0.489348,0.840,-0.976360,0.628872,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,63,25,next_close,1808,0.087438,0.045611,0.398357,0.489348,0.814,-0.977312,0.623894,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,63,25,one_day_delay,1808,0.086938,0.045111,0.395787,0.489348,0.809,-0.977499,0.621681,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,63,50,next_close,1808,0.082438,0.040611,0.372815,0.489348,0.762,-0.986148,0.609513,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,63,50,one_day_delay,1808,0.081938,0.040111,0.370280,0.489348,0.757,-0.986963,0.604535,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,63,100,next_close,1808,0.072438,0.030611,0.322783,0.489348,0.660,-0.995909,0.569690,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_all_buys,63,100,one_day_delay,1808,0.071938,0.030111,0.320318,0.489348,0.655,-0.996152,0.568584,0.556416,0.154314,6.22,diagnostic_not_tradability_proof
long_top5_buys,63,0,next_close,1006,0.144321,0.090562,0.714713,0.558510,1.280,-0.973761,0.710736,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,63,0,one_day_delay,1006,0.143821,0.090062,0.711718,0.558510,1.274,-0.974013,0.709742,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,63,5,next_close,1006,0.143321,0.089562,0.708727,0.558510,1.269,-0.974263,0.705765,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,63,5,one_day_delay,1006,0.142821,0.089062,0.705740,0.558510,1.264,-0.974511,0.705765,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,63,10,next_close,1006,0.142321,0.088562,0.702757,0.558510,1.258,-0.974757,0.705765,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,63,10,one_day_delay,1006,0.141821,0.088062,0.699777,0.558510,1.253,-0.975000,0.704771,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,63,25,next_close,1006,0.139321,0.085562,0.684940,0.558510,1.226,-0.976185,0.700795,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,63,25,one_day_delay,1006,0.138821,0.085062,0.681984,0.558510,1.221,-0.976416,0.698807,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,63,50,next_close,1006,0.134321,0.080562,0.655556,0.558510,1.174,-0.978399,0.692843,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,63,50,one_day_delay,1006,0.133821,0.080062,0.652639,0.558510,1.169,-0.978610,0.690855,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,63,100,next_close,1006,0.124321,0.070562,0.597943,0.558510,1.071,-0.982264,0.654076,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
long_top5_buys,63,100,one_day_delay,1006,0.123821,0.070062,0.595102,0.558510,1.066,-0.982439,0.654076,1.000000,0.277336,6.22,diagnostic_not_tradability_proof
avoid_non_top_buys,63,0,next_close,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,63,0,one_day_delay,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,63,5,next_close,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,63,5,one_day_delay,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,63,10,next_close,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,63,10,one_day_delay,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,63,25,next_close,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,63,25,one_day_delay,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,63,50,next_close,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,63,50,one_day_delay,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,63,100,next_close,802,,,,,,,,,,,avoidance_not_trade
avoid_non_top_buys,63,100,one_day_delay,802,,,,,,,,,,,avoidance_not_trade
short_non_top_buys_diagnostic,63,0,next_close,802,-0.027358,-0.010496,-0.105022,0.344014,-0.305,-1.000000,0.458853,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
short_non_top_buys_diagnostic,63,0,one_day_delay,802,-0.027858,-0.010996,-0.106861,0.344014,-0.311,-1.000000,0.457606,0.000000,0.241895,5.18,diagnostic_not_tradability_proof
