event_id,ticker,company_name,event_date,window_pm1,window_pm3,window_pm5,filing_count_pm1,filing_count_pm3,filing_count_pm5,material_filing_flag_pm1,material_filing_flag_pm3,material_filing_flag_pm5,material_form_types,nearest_filing_date,nearest_form_type,sec_confounded_flag,sec_clean_flag,query_status,reason_codes
509,META,Meta,2025-10-30,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",7,9,15,True,True,True,10-Q;424B2;8-K,2025-10-30,4,True,False,ok,material_filing_pm5
510,META,Meta,2025-10-30,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",7,9,15,True,True,True,10-Q;424B2;8-K,2025-10-30,4,True,False,ok,material_filing_pm5
511,NVDA,Nvidia,2025-10-30,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",2,5,5,False,False,False,,2025-10-31,4,False,True,ok,
512,GOOGL,Alphabet,2021-04-01,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2023-01-25,4,False,True,ok,
513,GOOGL,Alphabet,2021-04-01,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2023-01-25,4,False,True,ok,
514,AAPL,Apple,2021-04-01,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,3,False,False,False,,2021-04-05,4,False,True,ok,
515,META,Meta,2023-10-27,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2024-03-27,4,False,True,ok,
516,AMZN,Amazon,2023-10-27,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",2,2,6,True,True,True,10-Q;8-K,2023-10-27,10-Q,True,False,ok,material_filing_pm5
517,AMZN,Amazon,2023-10-27,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",2,2,6,True,True,True,10-Q;8-K,2023-10-27,10-Q,True,False,ok,material_filing_pm5
518,AAPL,Apple,2025-12-19,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2026-01-02,3,False,True,ok,
519,AAPL,Apple,2025-12-19,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2026-01-02,3,False,True,ok,
520,NVDA,Nvidia,2025-11-04,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,1,2,False,False,False,,2025-11-05,4,False,True,ok,
521,NVDA,Nvidia,2025-11-04,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,1,2,False,False,False,,2025-11-05,4,False,True,ok,
522,META,Meta,2025-11-04,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",7,8,13,True,True,True,10-Q;424B2;8-K,2025-11-04,4,True,False,ok,material_filing_pm5
523,GOOGL,Alphabet,2025-11-04,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",10,14,17,True,True,True,10-Q;424B2;424B5;8-K,2025-11-04,4,True,False,ok,material_filing_pm5
524,AMD,,2025-09-27,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,2,2,False,False,False,,2025-09-26,4,False,True,ok,
525,AAPL,Apple,2024-03-14,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2024-03-20,CORRESP,False,True,ok,
526,NVDA,Nvidia,2024-03-14,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,6,6,True,True,True,8-K,2024-03-14,8-K,True,False,ok,material_filing_pm5
527,AAPL,Apple,2023-11-02,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",2,2,2,True,True,True,10-K;8-K,2023-11-02,8-K,True,False,ok,material_filing_pm5
528,AAPL,Apple,2023-11-02,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",2,2,2,True,True,True,10-K;8-K,2023-11-02,8-K,True,False,ok,material_filing_pm5
529,AAPL,Apple,2023-11-02,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",2,2,2,True,True,True,10-K;8-K,2023-11-02,8-K,True,False,ok,material_filing_pm5
530,DIS,Disney,2023-11-02,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,1,2,True,True,True,8-K,2023-11-01,8-K,True,False,ok,material_filing_pm5
531,MSFT,Microsoft,2026-04-12,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,1,1,False,False,False,,2026-04-15,4,False,True,ok,
532,TGT,,2024-10-08,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2024-10-02,4,False,True,ok,
533,AAPL,Apple,2026-01-01,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",2,2,2,True,True,True,8-K,2026-01-02,3,True,False,ok,material_filing_pm5
534,AMZN,Amazon,2024-01-26,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,1,4,False,False,False,,2024-01-26,SC 13G/A,False,True,ok,
535,NVDA,Nvidia,2024-01-26,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,1,1,False,False,False,,2024-01-26,SC 13G/A,False,True,ok,
536,NVDA,Nvidia,2024-01-26,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,1,1,False,False,False,,2024-01-26,SC 13G/A,False,True,ok,
537,MSFT,Microsoft,2024-01-26,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,2,False,False,True,10-Q;8-K,2024-01-30,10-Q,True,False,ok,material_filing_pm5
538,AMZN,Amazon,2026-04-09,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",9,9,12,True,True,True,8-K;DEF 14A,2026-04-09,4,True,False,ok,material_filing_pm5
539,AMD,,2025-09-18,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,2,2,False,False,False,,2025-09-17,4,False,True,ok,
540,AMZN,Amazon,2020-07-12,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2020-07-02,4,False,True,ok,
541,AMZN,Amazon,2020-07-12,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2020-07-02,4,False,True,ok,
542,AMZN,Amazon,2025-09-29,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,1,2,False,False,False,,2025-10-01,144,False,True,ok,
543,NVDA,Nvidia,2026-04-16,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2026-04-27,8-K,False,True,ok,
544,GOOGL,Alphabet,2023-12-07,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",3,4,6,False,False,False,,2023-12-08,4,False,True,ok,
545,NVDA,Nvidia,2025-10-03,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",3,6,11,False,False,False,,2025-10-03,144,False,True,ok,
546,AMZN,Amazon,2023-12-01,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,3,False,False,False,,2023-12-05,4,False,True,ok,
547,AAPL,Apple,2025-02-20,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,1,False,False,True,8-K,2025-02-25,8-K,True,False,ok,material_filing_pm5
548,TSLA,Tesla,2025-11-19,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2025-11-12,4,False,True,ok,
549,META,Meta,2026-04-11,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,2,7,False,True,True,8-K;DEF 14A,2026-04-13,144,True,False,ok,material_filing_pm5
550,NVDA,Nvidia,2025-11-22,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,3,5,False,True,True,10-Q;8-K,2025-11-24,144,True,False,ok,material_filing_pm5
551,NVDA,Nvidia,2025-11-22,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,3,5,False,True,True,10-Q;8-K,2025-11-24,144,True,False,ok,material_filing_pm5
552,MSFT,Microsoft,2025-11-22,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",1,2,3,False,False,False,,2025-11-21,4,False,True,ok,
553,PYPL,PayPal,2025-09-17,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,2,2,False,False,False,,2025-09-15,4,False,True,ok,
554,META,Meta,2025-09-17,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",4,6,7,False,False,False,,2025-09-17,4,False,True,ok,
555,AMZN,Amazon,2021-04-08,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",2,2,2,False,False,False,,2021-04-08,3,False,True,ok,
556,GOOGL,Alphabet,2021-04-08,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2023-01-25,4,False,True,ok,
557,AAPL,Apple,2021-04-08,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,3,3,False,False,False,,2021-04-05,4,False,True,ok,
558,TSLA,Tesla,2024-07-04,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,1,1,False,True,True,8-K,2024-07-02,8-K,True,False,ok,material_filing_pm5
559,NVDA,Nvidia,2024-07-04,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",3,18,21,False,True,True,8-K,2024-07-05,144,True,False,ok,material_filing_pm5
560,AMZN,Amazon,2024-07-04,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",3,7,8,False,False,False,,2024-07-05,4,False,True,ok,
561,AAPL,Apple,2024-07-04,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2024-08-01,8-K,False,True,ok,
562,HOOD,Robinhood,2026-03-25,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",4,9,10,True,True,True,8-K;8-K/A,2026-03-24,4,True,False,ok,material_filing_pm5
563,HOOD,Robinhood,2026-03-25,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",4,9,10,True,True,True,8-K;8-K/A,2026-03-24,4,True,False,ok,material_filing_pm5
564,HOOD,Robinhood,2026-03-25,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",4,9,10,True,True,True,8-K;8-K/A,2026-03-24,4,True,False,ok,material_filing_pm5
565,GOOGL,Alphabet,2024-01-30,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",5,7,8,True,True,True,10-K;8-K,2024-01-30,4,True,False,ok,material_filing_pm5
566,GOOGL,Alphabet,2024-01-30,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",5,7,8,True,True,True,10-K;8-K,2024-01-30,4,True,False,ok,material_filing_pm5
567,TSLA,Tesla,2026-04-07,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,2,False,False,True,8-K,2026-04-02,4,True,False,ok,material_filing_pm5
568,AMZN,Amazon,2021-07-17,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",0,0,0,False,False,False,,2021-07-09,4,False,True,ok,
569,PYPL,PayPal,2025-10-15,"[-1,+1] calendar days","[-3,+3] calendar days","[-5,+5] calendar days",5,5,5,False,False,False,,2025-10-16,4,False,True,ok,
