creator,horizon,event_count,top5_share,mean_pre21_spy_bhar,right_censored,n,mean,median,t_stat,p_value,win_rate
Sasha Yanshin,5D,49,0.7755,-0.027513,0,49,-0.006946,0.012461,-0.608,0.542895,0.5510
Sasha Yanshin,63D,49,0.7755,-0.027513,1,49,0.040472,0.044553,1.335,0.182019,0.6531
Sasha Yanshin,end_of_sample,49,0.7755,-0.027513,0,49,1.087482,0.389709,5.092,0.000000,0.8776
Stock Moe,126D,10,0.4000,-0.037560,10,10,0.043748,0.089921,1.043,0.297098,0.6000
Stock Moe,21D,10,0.4000,-0.037560,1,10,-0.024054,-0.027595,-1.024,0.305683,0.3000
Stock Moe,252D,10,0.4000,-0.037560,10,10,0.043748,0.089921,1.043,0.297098,0.6000
Stock Moe,504D,10,0.4000,-0.037560,10,10,0.043748,0.089921,1.043,0.297098,0.6000
Stock Moe,5D,10,0.4000,-0.037560,0,10,0.004520,-0.003928,0.665,0.505798,0.4000
Stock Moe,63D,10,0.4000,-0.037560,1,10,-0.054191,-0.015687,-2.364,0.018091,0.3000
Stock Moe,end_of_sample,10,0.4000,-0.037560,0,10,0.043748,0.089921,1.043,0.297098,0.6000
The Investor Channel,126D,494,0.6194,0.011309,22,494,0.107759,0.060135,8.417,0.000000,0.6457
The Investor Channel,21D,494,0.6194,0.011309,1,494,0.023096,0.012812,4.778,0.000002,0.5891
The Investor Channel,252D,494,0.6194,0.011309,46,494,0.197143,0.077460,9.313,0.000000,0.6215
The Investor Channel,504D,494,0.6194,0.011309,258,494,0.365836,0.136011,10.850,0.000000,0.6640
The Investor Channel,5D,494,0.6194,0.011309,0,494,0.006698,0.001509,2.623,0.008715,0.5202
The Investor Channel,63D,494,0.6194,0.011309,7,494,0.060841,0.029093,7.184,0.000000,0.5789
The Investor Channel,end_of_sample,494,0.6194,0.011309,0,494,0.493050,0.154613,9.539,0.000000,0.6640
The Plain Bagel,126D,10,0.6000,0.158272,0,10,0.346931,0.089652,2.142,0.032161,0.7000
The Plain Bagel,21D,10,0.6000,0.158272,0,10,-0.051049,-0.072741,-1.238,0.215675,0.3000
The Plain Bagel,252D,10,0.6000,0.158272,1,10,0.625218,0.198872,1.663,0.096290,0.6000
The Plain Bagel,504D,10,0.6000,0.158272,5,10,0.708399,0.488283,1.412,0.157910,0.7000
The Plain Bagel,5D,10,0.6000,0.158272,0,10,0.013114,0.030627,0.443,0.657899,0.7000
The Plain Bagel,63D,10,0.6000,0.158272,0,10,-0.014868,0.029084,-0.501,0.616178,0.7000
The Plain Bagel,end_of_sample,10,0.6000,0.158272,0,10,1.077120,0.578882,1.524,0.127622,0.7000
The Swedish Investor,126D,11,0.6364,-0.003246,0,11,-0.049840,-0.016718,-0.568,0.569768,0.3636
The Swedish Investor,21D,11,0.6364,-0.003246,0,11,0.000730,0.030352,0.020,0.984320,0.6364
The Swedish Investor,252D,11,0.6364,-0.003246,1,11,-0.027453,-0.043291,-0.332,0.739797,0.4545
The Swedish Investor,504D,11,0.6364,-0.003246,3,11,0.079218,0.085019,0.710,0.477915,0.7273
The Swedish Investor,5D,11,0.6364,-0.003246,0,11,-0.000647,0.003390,-0.054,0.957238,0.7273
The Swedish Investor,63D,11,0.6364,-0.003246,0,11,0.036541,0.044235,0.846,0.397616,0.6364
The Swedish Investor,end_of_sample,11,0.6364,-0.003246,0,11,0.073924,-0.022460,0.439,0.660652,0.3636
Ticker Symbol: YOU,126D,66,0.7424,0.015708,6,66,0.182057,0.065851,3.452,0.000556,0.6818
Ticker Symbol: YOU,21D,66,0.7424,0.015708,2,66,0.016057,0.004572,1.248,0.211892,0.5303
Ticker Symbol: YOU,252D,66,0.7424,0.015708,7,66,0.454547,0.337051,6.129,0.000000,0.7879
Ticker Symbol: YOU,504D,66,0.7424,0.015708,21,66,0.842375,0.737217,6.231,0.000000,0.8939
Ticker Symbol: YOU,5D,66,0.7424,0.015708,0,66,-0.001737,-0.002057,-0.256,0.798188,0.4545
Ticker Symbol: YOU,63D,66,0.7424,0.015708,3,66,0.083632,0.010620,2.641,0.008261,0.5455
Ticker Symbol: YOU,end_of_sample,66,0.7424,0.015708,0,66,1.335812,0.779527,5.885,0.000000,0.8788
Tom Nash,126D,18,0.8333,0.059130,1,18,0.276646,0.068254,2.658,0.007869,0.7222
Tom Nash,21D,18,0.8333,0.059130,0,18,0.087789,0.061551,2.211,0.027028,0.5556
Tom Nash,252D,18,0.8333,0.059130,1,18,0.260371,0.273125,4.823,0.000001,0.8889
Tom Nash,504D,18,0.8333,0.059130,16,18,0.593662,0.463271,6.171,0.000000,0.8889
Tom Nash,5D,18,0.8333,0.059130,0,18,0.024582,-0.002542,1.174,0.240344,0.4444
Tom Nash,63D,18,0.8333,0.059130,1,18,0.088747,0.100604,2.312,0.020763,0.6667
Tom Nash,end_of_sample,18,0.8333,0.059130,0,18,0.622333,0.463271,6.146,0.000000,0.8889
"Value Investing with Sven Carlin, Ph.D.",126D,43,0.7442,0.006343,31,43,0.099992,0.102796,4.953,0.000001,0.8837
